Banter,Script,Interact
bdban001,BDMINSC,CORWIN
bdban002,BDDYNAHE,CORWIN
bdban003,BDRASAAD,CORWIN
bdban004,BDSAFANA,CORWIN
bdban005,BDCORWIN,VICONIA
bdban006,BDEDWIN,CORWIN
bdban007,BDBAELOT,CORWIN
bdban008,BDMKHIIN,CORWIN
bdban009,BDGLINT,CORWIN
bdban010,BDJAHEIR,CORWIN
bdban011,BDKHALID,CORWIN
bdban012,BDCORWIN,DORN
bdban013,BDNEERA,CORWIN
bdban014,BDVOGHIL,CORWIN
bdban015,BDDYNAHE,MINSC
bdban016,BDMINSC,RASAAD
bdban017,BDMINSC,SAFANA
bdban018,BDVICONI,MINSC
bdban019,BDEDWIN,MINSC
bdban020,BDMINSC,BAELOTH
bdban021,BDMKHIIN,MINSC
bdban022,BDGLINT,MINSC
bdban023,BDMINSC,JAHEIRA
bdban024,BDKHALID,MINSC
bdban025,BDMINSC,DORN
bdban026,BDMINSC,NEERA
bdban027,BDVOGHIL,MINSC
bdban028,BDDYNAHE,RASAAD
bdban029,BDDYNAHE,SAFANA
bdban030,BDDYNAHE,VICONIA
bdban032,BDDYNAHE,BAELOTH
bdban033,BDDYNAHE,MKHIIN
bdban034,BDGLINT,DYNAHEIR
bdban036,BDJAHEIR,DYNAHEIR
bdban037,BDDYNAHE,KHALID
bdban038,BDDYNAHE,DORN
bdban039,BDDYNAHE,NEERA
bdban040,BDDYNAHE,VOGHILN
bdban041,BDRASAAD,SAFANA
bdban042,BDRASAAD,VICONIA
bdban043,BDRASAAD,EDWIN
bdban044,BDBAELOT,RASAAD
bdban045,BDRASAAD,MKHIIN
bdban046,BDGLINT,RASAAD
bdban047,BDRASAAD,JAHEIRA
bdban048,BDRASAAD,KHALID
bdban049,BDDORN,RASAAD
bdban050,BDRASAAD,NEERA
bdban051,BDRASAAD,VOGHILN
bdban052,BDSAFANA,VICONIA
bdban053,BDSAFANA,EDWIN
bdban054,BDBAELOT,SAFANA
bdban055,BDSAFANA,MKHIIN
bdban056,BDGLINT,SAFANA
bdban057,BDSAFANA,JAHEIRA
bdban058,BDKHALID,SAFANA
bdban059,BDSAFANA,DORN
bdban060,BDSAFANA,NEERA
bdban061,BDSAFANA,VOGHILN
bdban062,BDEDWIN,VICONIA
bdban063,BDBAELOT,VICONIA
bdban064,BDVICONI,MKHIIN
bdban065,BDVICONI,GLINT
bdban066,BDJAHEIR,VICONIA
bdban067,BDKHALID,VICONIA
bdban068,BDVICONI,DORN
bdban069,BDNEERA,VICONIA
bdban070,BDVOGHIL,VICONIA
bdban071,BDEDWIN,BAELOTH
bdban072,BDEDWIN,MKHIIN
bdban074,BDEDWIN,JAHEIRA
bdban076,BDEDWIN,DORN
bdban077,BDNEERA,EDWIN
bdban078,BDEDWIN,VOGHILN
bdban079,BDMKHIIN,BAELOTH
bdban081,BDBAELOT,JAHEIRA
bdban082,BDBAELOT,KHALID
bdban083,BDBAELOT,DORN
bdban084,BDBAELOT,NEERA
bdban085,BDBAELOT,MKHIIN
bdban086,BDGLINT,BAELOTH
bdban087,BDMKHIIN,JAHEIRA
bdban088,BDKHALID,MKHIIN
bdban089,BDDORN,MKHIIN
bdban090,BDNEERA,MKHIIN
bdban092,BDGLINT,JAHEIRA
bdban093,BDGLINT,KHALID
bdban094,BDGLINT,DORN
bdban095,BDGLINT,NEERA
bdban096,BDVOGHIL,GLINT
bdban098,BDJAHEIR,DORN
bdban099,BDNEERA,JAHEIRA
bdban100,BDVOGHIL,JAHEIRA
bdban101,BDKHALID,DORN
bdban102,BDKHALID,NEERA
bdban103,BDKHALID,VOGHILN
bdban104,BDNEERA,DORN
bdban105,BDDORN,VOGHILN
bdban106,BDNEERA,VOGHILN
